Rule,Semantic text,Improved version,Category,Sate
"IF AND((self, cer, tain), (days, apply, meters)), THEN (section, for, times)",if cer tain hours and days apply to the meters you can park in this section for free outside these times,,Road Signs,QL
"IF (path, of, vehicle), THEN (self, give, way)",you must give way if you are turning across the path of a vehicle,,Vehicle Behavior,QL
"IF (self, isA, sign), THEN (speed, on, sign)",if there is such a sign you should slow down to at least the speed on the sign,,Road Signs,WEA
"IF (self, isA, speed), THEN (distance, isA, metres)",if you are travelling at high speed a sufcient distance may be several hundred metres,,Vehicle Behavior,WEA
"IF (line, isA, t), THEN (Broken, indicates, pass)",broken yellow line a broken yellow line indicates you may pass if the broken line is nex t to your driving lane,"IF(self, is, driving) THEN (Broken line, indicates, pass)",Road Signs,CA
"IF (lane, with, lines), THEN OR((self, isA, freeway), (lane, end, end))",if you are driving in a lane marked with broken lines be prepared to exit the freeway or for the lane to end,"IF (lane, with, lines), THEN OR((self, exit, freeway), (self, exit , lane))",Road Signs,CA
"IF (self, isA, limit), THEN (stop, before, crosswalk)",if there is no limit line stop before you enter the crosswalk,"IF NOT (crosswalk, has, limit line), THEN (stop, before, crosswalk)",Road Signs,CA
"IF (self, isA, crosswalk), THEN (stop, before, i)",if there is no crosswalk stop before you enter the i nter se ctio n,"IF NOT(self, isA, crosswalk), THEN (stop, before, intersection)",Road Signs,CA
"IF (self, isA, arrow), THEN NOT(Turn, r, Red)",right turn agains t a red arrow you may not turn right if you are stopped at a red arrow light,"IF (self, isA, arrowlight), THEN NOT(Turn, right, onred)",Road Signs,CA
"IF (right, isA, allowed), THEN (self, isA, sign)",if free right turns are not allowed there will be a sign saying so,"IF NOT (right turn, isA, allowed), THEN (self, isA, sign)",Road Signs,CA
"IF AND((wheels, isA, left), (vehicle, from, behind)), THEN (self, isA, trac)",if your wheels are pointed to the left and a vehicle hits you from behind you could be pushed into oncoming trac,"IF AND((wheels, isA, left), (vehicle, hits from, behind)), THEN (self, isA, pushed traffic)",Safety Hazards,CA
"IF (self, hasA, light), THEN (t, across, intersection)",even if you have a green light do not star t going across the intersection if there are vehicles blocking your way,"IF AND (self, hasA, light) (vehicles, in, intersection), NOT THEN (go, across, intersection)",Vehicle Behavior,CA
"IF (driver, isA, left), THEN (pass, on, left)",never pass on the left if the driver is signaling a left turn,"IF (driver, signaling, left), THEN NOT (pass, on, left)",Vehicle Behavior,CA
"IF (stop, if, )), THEN (self, see, signal)",when you see a yellow trac signal light stop if you can do so safely,"IF (self, see, yellow traffic signal )), THEN (self, stop, signal)",Road Signs,CA
"IF NOT(self, get, signal), THEN NOT(Do, enter, intersection)",do not enter the intersection if you can not get completely across before the trac signal light turns red,"IF NOT(self, pass, signal), THEN NOT(Do, enter, intersection)",Road Signs,CA
"IF (intersection, by, STOP), THEN (Traffic, as, as)",traffic signal light not working blackout stop as if the intersection is controlled by stop signs in all directions,"IF (intersection, lights, not working), THEN (Traffic, as, stop sign)",Road Signs,CA
"IF (Dont, isA, ashing), THEN (Drivers, yield, pedestrians)",drivers must yield to pedestrians even if the dont walk light is ashing,"IF (Don’twalk, isA, flashing), THEN (Drivers, yield, pedestrians)",Vehicle Behavior,CA
"IF NOT(self, see, truck), THEN NOT(truck, see, you)",if you can not see the truck s side mirrors the truck driver can not see you,"IF NOT(self, see, truck mirrors), THEN NOT(truck, see, you)",Vehicle Behavior,CA
"IF (shares, with, tr), THEN (distance, from, rail)",maintain a safe distance from the light rail vehicle if it shares the road with other tr ac,"IF (self, shares with, rail), THEN (distance, from, rail vehicle)",Vehicle Behavior,CA
"IF (self, isA, intersection), THEN (continue, through, intersection)",if you are in an intersection when you see an emergency vehicle continue through the intersection,"IF AND((self, isA, intersection),(self, see, emergency vehicle)) THEN (continue, through, intersection)",Vehicle Behavior,CA
"IF (self, choose, trac), THEN NOT(self, do, lane)",if you choose to drive slower than other trac do not drive in the fast lane,"IF (self, choose, slow), THEN NOT(self, do, left lane)",Vehicle Behavior,CA
"IF (self, need, tracks), THEN (wait, until, tracks)",if you need to stop after crossing the tracks wait until you can completely cross the tracks before proceeding,"IF (self, need, pass tracks), THEN (wait, until can pass, tracks completely)",Vehicle Behavior,CA
"IF (self, isA, tracks), THEN (self, risk, y)",if you are on the tracks you risk injur y o r d eath,"IF (self, isA, tracks), THEN (self, risk, death)",Vehicle Behavior,CA
"IF (vehicle, in, front), THEN (foot, off, gas)",if a vehicle merges in front of you too closely take your foot o the gas,"IF (vehicle merges, in, front), THEN (foot, off, gas)",Safety Hazards,CA
"IF (ts, on, day), THEN (pavement, for, minutes)",if it star ts to rain on a hot day the pavement can be ver y slipper y for the rst several minutes,"IF AND ((hot, on, day), (rain, on day)), THEN (pavement, slippery , for minutes)",Environmental Conditions,CA
"IF NOT(self, see, feet), THEN (self, isA, mph)",if you can not see far ther than feet it is not safe to drive faster than mph,"IF NOT(self, see, more 100feet), THEN NOT (self, drive, faster 30mph)",Environmental Conditions,CA
"IF (self, drive, y), THEN (carr, for, tires)",if you drive in snow y areas carr y snow chains for your tires,"IF (self, drive, snow), THEN (self, carry, tires chains)",Environmental Conditions,CA
"IF (water, isA, deep), THEN (road, isA, cross)",if the water is deep the road may be too dangerous to cross,"IF (water, isA, deep), THEN (road, isA, dangerous)",Environmental Conditions,CA
"IF (fog, becomes, safely), THEN (self, consider, road)",if the fog becomes too thick to drive safely consider pulling o the road,"IF (fog, becomes, thick), THEN (self, pull off, road)",Environmental Conditions,CA
"IF AND((self, isA, y), NOT(self, control, vehicle)), THEN (way, stop, skid)",if you are skidding on a slipper y sur face and can not control your vehicle nd a way to stop the skid,"IF AND((self, isA, slippery), NOT(self, control, vehicle)), THEN (way, stop, skid)",Safety Hazards,CA
"IF (brakes, get, wet), THEN AND((self, dr, gas), (brake, at, time))",if your brakes get wet you can dr y them by lightly pressing the gas and brake pedals at the same time,"IF (brakes, get, wet), THEN AND((self, press, gas), (self, press, brake))",Safety Hazards,CA
"IF (anyone, isA, injured), THEN NOT(self, get, vehicles)",if anyone is injured they will get help faster if other vehicles are not blocking the road,"IF (anyone, isA, injured), THEN NOT(self, get, blocking vehicles)",Safety Hazards,CA
"IF (one, isA, t), THEN (vehicle, out, trac)",move your vehicle out of trac if no one is hur t,"IF (one, isA,hurt), THEN (vehicle, out, traffic)",Safety Hazards,CA
"IF (batter, isA, dead), THEN (Jump, t, vehicle)",jump star t your vehicle if the batter y is dead,"IF (battery, isA, dead), THEN (Jump, start, vehicle)",Safety Hazards,CA
"IF (self, make, call), THEN (Pull, o, road)",pull o the road if you must make a call,"IF (self, make, call), THEN (Pull, off, road)",Vehicle Behavior,CA
"IF (Railroad, approaching, railroad), THEN AND((stop, between, 15), (feet, from, rail))",railroad grade crossings when approaching a railroad grade crossing stop between and feet from the nearest rail if,"IF (self, approaching, railroad), THEN AND((stop, between, 15feet), (50feet, from, rail))",Vehicle Behavior,TX
"IF (car, off, tracks), THEN (self, get, help)",if you can not push the car off the tracks get help,"IF NOT(car, off, tracks), THEN (self, get, help)",Safety Hazards,TX
"IF (self, isA, control), THEN (right-of-way, on, light)",if there is not a pedestrian control signal give the pedestrian the rigth-of-way on a green light,"IF NOT (self, is A, controlsign), THEN (pedestrian right-of-way, on, light)",Vehicle Behavior,TX
"IF (light, after, pedestrian), THEN (self, give, right-of-way)",if the light changes after the pedestrian has entered the crosswalk still give the pedestrian the,"IF (lightchanges, after, pedestrian), THEN (self, give, right-of-way)",Road Signs,TX
"IF (self, turn, streets), THEN (self, prohibited, law)",you may also turn left if both streets are one way unless prohibited by law,"IF  NOT(self, prohibited, law)  THEN (self, one way, turn left)",Vehicle Behavior,TX
"IF (stop, isA, safely), THEN (intersection, before, changes)",if a stop can not be made safely then you may proceed cautiously through the intersection before the light changes to red,"IF NOT (stop, isA, safely), THEN (intersection, before, yellowchanges)",Road Signs,TX
"IF (load, than, figure), THEN NOT(Do, try, enter)",do not try to enter if your load is higher than the figure shown on the sign,"IF (load, greaterthan, figure), THEN NOT(Do, try, enter)",Road Signs,TX
"IF (vehicles, on, road), THEN (Stay, in, right-hand)",stay in the lane if you are slower than other vehicles on the road,"IF (self, slow, onroad), THEN (Stay, in, right-hand)",Vehicle Behavior,TX
"IF (vehicles, at, time), THEN (yield, on, right)",if two vehicles arrive at the same time yield to the vehicle on your right,"IF (vehicles, at, sametime), THEN (yield, on, right)",Vehicle Behavior,TX
"IF (track, isA, crossed), THEN (sign, of, tracks)",if more than one track is to be crossed the sign will show the number of tracks,"IF (track, isA, crossed), THEN (sign, show, number tracks)",Road Signs,TX
"IF OR((self, isA, traffic), (self, passing, vehicles)), THEN OR((self, Use, middle), (self, left, lane))",use the middle or left lane if you are traveling faster than other traffic or passing other vehicles,"IF OR((self, isfaster, traffic), (self, passing, vehicles)), THEN OR((self, Use, middle), (self, left, lane))",Vehicle Behavior,TX
"IF (self, plan, freeway), THEN (change, as, possible)",if you plan to leave the freeway soon change to the exit lane as soon as possible,"IF (self, plan leave, freeway), THEN (change, as, possible)",Vehicle Behavior,TX
"IF NOT(self, do, lights), THEN (self, use, taillights)",if you do not have warning lights use your taillights,"IF NOT(self, have, warninglights), THEN (self, use, taillights)",Safety Hazards,TX
"IF (youre, driving, miles), THEN AND((self, Keep, windows), (ice, before, drive))",keep windows clear remove snow and ice before you drive even if youre just driving a few miles,"IF (self, driving, few miles), THEN AND((self, clear, windows), (ice, before, drive))",Environmental Conditions,TX
"IF (self, pass, truck), THEN (crash, because, trucks)",if you pass too closely behind the truck a crash may occur because you are in the trucks blind spot,"IF (self, pass, behind truck), THEN (crash, because, blind spot)",Safety Hazards,TX
"IF AND((road, for, U-turn), (self, cant, block)), THEN (self, Use, -point)",use a three turn only if the road is too narrow for a and you cant go around the block,"IF AND((road narrow, for, U-turn), (self, cant, around block)), THEN (self, Use, 3-point turn)",Vehicle Behavior,FL
"IF (vehicles, at, time), THEN (driver, on, right)",if vehicles arrive at approximately the same time each driver must yield to the drivers on their right,"IF (vehicles, at, time), THEN (driver,yield,right)",Vehicle Behavior,FL
"IF (reflectors, on, lane), THEN (side, of, road)",if you see red reflectors facing you on the lane lines you are on the wrong side of the road,"IF (red reflectors, on, lane), THEN (wrongside, of, road)",Road Signs,FL
"IF (self, pass, exit), THEN (self, go, o)",if you pass your exit you must go to the next o n e,"IF (self, pass, exit), THEN (self, go, nextone)",Vehicle Behavior,FL
"IF OR((visibility, isA, fog), (moisture, on, windshield)), THEN (self, isA, diicult)",sometimes it is diicult to determine if poor visibility is due to fog or moisture on the windshield,"IF OR((visibility, isA, fog), (moisture, on, windshield)), THEN (self, vision, difficult)",Environmental Conditions,FL
"IF (vehicles, behind, you), THEN (self, brake, wheels)",if there are no vehicles close behind you brake hard without locking your wheels,"IF NOT(vehicles, behind, you), THEN (self, brake, wheels)",Safety Hazards,FL
"IF (collision, isA, inevitable), THEN NOT(self, do, ve)",if collision is inevitable do not swer ve to avoid the animal,"IF (collision, isA, inevitable), THEN NOT(self, swerve, to animal)",Safety Hazards,FL
"IF (crash, isA, unavoidable), THEN (ve, o, road)",if a crash is unavoidable it is better to swer ve o the road than into oncoming traic,"IF (crash, isA, unavoidable), THEN (swerve, on, road)",Safety Hazards,FL
"IF (self, do, ABS), THEN AND((self, pump, brake), (self, hasA, ABS))",if you do not have abs pump the brake pedal hard and fast if you have abs skip to,"IF NOT (self, have, ABS), THEN (self, pump, brake fast)",Safety Hazards,FL
"IF (self, shut, engine), THEN (self, lose, ability)",if you shut o your engine you will lose the ability to steer the car,"IF (self, shut, engine), THEN (self, lose, steering ability)",Safety Hazards,FL
"IF (vehicles, at, time), THEN (driver, on, yields)",if multiple vehicles arrive at the same time the driver on the le yields to the driver on the right,"IF (vehicles, at, same time), THEN (driver, on, yieldsright)",Vehicle Behavior,FL
"IF (trac, at, light), THEN (example, stop, stop)",if a trac ocer signals you to stop at a green light for example you must stop,"IF (traffic officer, at, light), THEN (self, must, stop)",Environmental Conditions,NY
"IF (vehicle, from, behind), THEN (wheels, into, trac)",keep your wheels straight to prevent being pushed into oncoming trac if your vehicle is hit from behind,"IF (vehicle, waiting, intersection), THEN (wheels, keep, straight)",Vehicle Behavior,NY
"IF (self, hasA, concern), THEN (wait, for, trac)",if you have any concern wait for trac to pass before you turn left,"IF (self, hasA, concern), THEN (wait, for, traffic)",Vehicle Behavior,NY
"IF (road, enter, lanes), THEN (self, turn, lane)",if the road you enter has two lanes you must turn into its left lane,"IF (road, enter, twolanes), THEN (self, turn, leftlane)",Road Signs,NY
"IF AND((lane, isA, wide), (motorcycle, isA, side)), THEN (move, into, lane)",never move into the same lane space as a motorcycle even if the lane is wide and the motorcycle is to one side,"IF AND((lane, isA, wide), (motorcycle, isA, side)), THEN NOT (move, into, lane)",Environmental Conditions,NY
"IF (vehicle, on, left), THEN (lane, hasA, yellow)",you can not pass a vehicle on the left if your lane has a solid yellow center line,"IF  (lane, has A,  solid yellow line), THEN NOT (self, pass, vehicle on left)",Road Signs,NY
"IF (vehicle, in, blind), THEN NOT(self, see, mirrors)",if a vehicle is in the blind spot you may not see it in your mirrors,"IF (vehicle, in, blind spot), THEN NOT(self, see, mirrors)",Vehicle Behavior,NY
"IF (BEING, If, vehicle), THEN AND((self, decrease, speed), (stay, in, lane))",being passed if another vehicle passes you on the left decrease your speed slightly and stay centered in your lane,"IF (BEING, pass, vehicle), THEN AND((self, decrease, speed), (stay, in, lane))",Vehicle Behavior,NY
"IF (side, of, highway), THEN (self, stop, school)",you must stop for a school bus even if it is on the opposite side of a divided highway,"IF (side, of, highway), THEN (self, stop, schoolbus)",Vehicle Behavior,NY
"IF (driver, in, crash), THEN (distance, from, crash)",if an aggressive driver is involved in a crash stop a safe distance from the crash scene,"IF (driver, in, crash), THEN (safedistance, from, crash)",Safety Hazards,NY
"IF (limit, isA, posted), THEN (drive, than, mph)",if no limit is posted drive no more than mph,"IF NOT(limit, isA, posted), THEN (drive, max, 55 mph)",Road Signs,NY
"IF (self, know, work), THEN (self, try, dierent)",if you know where a work zone is ahead you should try to use a dierent route,"IF (self, know, workzone), THEN (self, try, different route)",Safety Hazards,NY
"IF NOT(self, do, train), THEN (self, Get, tracks)",get away from the tracks even if you do not see a train,"IF NOT(self, see, train), THEN (self, Get, offtracks)",Vehicle Behavior,NY
"IF (vehicle, begins, traction), THEN (self, decrease, speed)",if your vehicle begins to lose traction decrease your speed even more,"IF (vehicle, begins, losetraction), THEN (self, decrease, speed)",Safety Hazards,NY
"IF (rear, start, skid), THEN (wheel, in, direction)",if your rear wheels start to skid turn the steering wheel in the direction the vehicle is trying to go,"IF (rear, start, skid), THEN (wheel, in, vehicledirection)",Safety Hazards,NY
"IF (rear, left, left), THEN (steer, left, left)",if your rear wheels slide left steer left,"IF (rear wheels, slide left, left), THEN (steer, left, left)",Safety Hazards,NY
"IF (self, brake, brakes), THEN (self, make, situation)",if you brake hard with regular brakes it will make the situation worse,"IF (self, brake, regularbrakes), THEN (self, make, situationworse)",Safety Hazards,NY
"IF (self, shift, gear), THEN (self, help, vehicle)",if you shift to a lower gear it will help your vehicle decrease speed,"IF (self, shift, gear), THEN (self, decrease speed, vehicle)",Safety Hazards,NY
"IF (vehicle, hasA, power), THEN (self, check, level)",if your vehicle has power steering check the uid level periodi cally,"IF (vehicle, hasA, powerteering), THEN (self, check, level periodically)",Vehicle Behavior,NY
"IF (driver, over, over), THEN (try, if, possible)",if the other driver does not move over try to escape to the right if possible,"IF (driver, coming, head on), THEN (try, going, right)",Safety Hazards,PN
"IF (vehicle, so, others), THEN (self, Turn, beam)",turn on your low beam headlights and fog lights if your vehicle has them so others can see you,"IF (self, driving, fog), THEN (self, Turn, beam lights)",Environmental Conditions,PN
"IF (self, isA, mph), THEN (feet, before, turning)",if you are driving mph or more you must signal at least feet before turning,"IF (self, isA, 35 mph), THEN ( signal300ft, before, turning)",Vehicle Behavior,PN
"IF (vehicle, on, highway), THEN (self, need, road)",if your vehicle breaks down on the highway you will need to pull off of the road,"IF (self, breakson, highway), THEN (self, pull, offroad)",Safety Hazards,PN
"IF NOT(self, want, lane), THEN (wait, until, turn)",if you want to change to another lane wait until after you have safely completed your turn,"IF (self, want, lanechange), THEN (wait, until, completeturn)",Vehicle Behavior,PN
"IF (light, if, traffic), THEN (TURNING, see, sign)",turning right at a red light unless you see this sign you may turn right at a red light if traffic is clear,"IF AND(NOT(light, turn, right turn),(traffic, is,clear)), THEN (self, turn, right)",Vehicle Behavior,PN
"IF (self, hasA, light), THEN (intersection, if, vehicles)",even if you have a green light do not enter an intersection if there are vehicles blocking your way,"IF (self, hasA, green light), THEN NOT(intersection, if, vehiclesblocking)",Vehicle Behavior,PN
"IF NOT(self, facing, caution), THEN (self, watching, turns)",if facing one another both can proceed with caution watching for possible turns,"IF (self, facing vehicle, intersection), THEN (self, go, watching turns)",Vehicle Behavior,PN
"IF (self, isA, center), THEN OR((self, either, turn), (self, go, intersection))",if you are in the center lane you may either turn left or go straight through the intersection,"IF (self, isA, centerlane), THEN OR((self, either, turnleft), (self, go, intersection))",Vehicle Behavior,PN
"IF AND((line, on, right), (line, on, left)), THEN (self, isA, direction)",if you see a white line on your right and a yellow line on the left you are headed in the right direction,"IF AND((white line, on, right), (yellow line, on, left)), THEN (self, is, right direction)",Road Signs,PN
"IF (self, isA, driver), THEN (self, yield, exiting)",if you are the driver entering the highway you must yield to the exiting driver,"IF (self, isA, entering), THEN (self, yield, exiting)",Vehicle Behavior,PN
"IF (self, isA, truck), THEN (self, stay, No-Zone)",if you are following a truck stay out of its,"IF (self, following, truck), THEN (self, out, No-Zone)",Vehicle Behavior,PN
"IF (rear, of, vehicle), THEN (self, turn, wheel)",if the rear of your vehicle is skidding to the left turn the wheel to the left,"IF (self, rear, skid left), THEN (self, turn, wheel left)",Safety Hazards,PN
